"cv01","One","Default","No base serif"
"cv04","Four","Default","Open top"
"cv06","Six and Nine","Default","Diagonal stems"
"cv07","Seven","Default","Barred"
"cv10","Zero","Default","Slashed"
"cv13","Capital B hook","Default","Single bowl"
"cv17","Capital D hook","Default","Half bowl"
"cv19","Lowercase ezh curl","Default","Large bowl"
"cv20","Capital Ezh","Default","Reversed sigma"
"cv25","Lowercase rams horn","Default","Large bowl","Small gamma"
"cv28","Capital H stroke","Default","Vertical stroke"
"cv31","Lowercase i","Default","Curved tail"
"cv34","Lowercase j","Default","Top serif"
"cv35","Capital J","Default","Top bar"
"cv37","Lowercase J stroke hook","Default","Top serif"
"cv39","Lowercase l","Default","Curved tail"
"cv43","Capital Eng","Default","Lowercase no descender","Capital form","Lowercase short stem"
"cv44","Capital N left hook","Default","Lowercase form"
"cv46","Open O","Default","Top serif"
"cv47","OU","Default","Open top"
"cv49","Lowercase p hook","Default","Right hook"
"cv51","Lowercase q","Default","Pointed"
"cv52","Capital Q","Default","Crossing tail"
"cv55","Capital R tail","Default","Lowercase form"
"cv56","Lowercase t","Default","No tail"
"cv57","Capital T hook","Default","Right hook"
"cv62","V hook","Default","Straight with low hook","Straight with high hook"
"cv67","Lowercase y","Default","Straight tail"
"cv68","Capital Y hook","Default","Left hook"
"cv70","Modifier apostrophe","Default","Large"
"cv71","Modifier colon","Default","Expanded"
"cv75","Vietnamese diacritics","Default","Vietnamese style"
"cv76","Ogonek","Default","Straight"
"cv77","Caron","Default","Global style"
"cv80","Cyrillic E","Default","Mongolian style"
"cv81","Cyrillic lowercase shha","Default","Capital form"
"cv82","Cyrillic breve","Default","Cyrillic form"
"cv84","Cyr Serbian Macedonian","Default","Serbian Macedonian forms"
"cv90","Chinantec tones","Default","Chinantec style"
"cv98","Empty set","Default","Zero form"
"ss01","Single-story a and g","False","True"
"ss04","Barred-bowl forms","Default","True"
"ss05","Slanted italic specials","Default","True"
"ss13","Double-story a","Default","True"
"ss14","Double-story g","Default","True"
"smcp","Small caps from lowercase","Default","Small caps"
